transaction_amount,transaction_hour,distance_from_home_km,distance_from_last_transaction_km,ratio_to_median_purchase,repeat_retailer,used_chip,used_pin,online_order,cash_withdrawal,card_age_days,device_trust_score,transactions_last_24h,merchant_risk_score,weekend,foreign_transaction,fraud
7.43,4,15.37,0.56,0.405,1,0,1,0,0,1020,0.51,3,12.93,0,0,0
10.64,7,1.76,7.93,0.699,1,0,1,0,0,793,0.711,2,16.02,0,0,0
43.69,16,36.21,10.78,0.46,0,0,1,1,0,526,0.878,3,33.45,0,1,1
47.14,15,0.03,9.18,1.581,1,1,1,0,1,187,0.569,4,36.23,1,0,0
14.87,9,5.34,9.78,0.704,1,0,1,0,0,94,0.616,3,20.57,0,0,0
11.66,5,6.15,28.17,0.993,0,1,1,1,1,478,0.8,4,34.18,0,0,0
23.12,4,9.08,3.29,1.721,1,1,0,0,0,1143,0.57,4,74.31,1,0,1
70.54,21,9.71,6.41,1.631,1,1,1,1,1,10,0.689,2,44.0,0,0,0
111.02,16,15.86,5.69,1.555,0,1,0,1,0,1188,0.948,6,11.92,0,0,0
15.78,8,29.5,1.1,0.75,1,1,0,1,0,626,0.826,3,21.89,0,0,0
21.77,5,21.18,1.66,0.761,1,0,0,0,0,10,0.584,2,53.82,0,0,0
18.54,10,39.23,4.18,2.387,1,0,1,1,0,499,0.725,5,16.99,0,1,0
47.9,11,4.36,5.39,2.882,1,0,1,1,0,422,0.736,2,53.42,0,0,0
10.54,4,5.71,3.41,1.418,1,1,1,0,1,1048,0.553,1,34.99,0,0,0
117.19,18,9.45,14.33,2.317,1,1,1,0,1,1434,0.59,5,22.79,1,1,0
8.82,3,2.39,1.89,2.016,1,0,1,0,0,30,0.926,2,15.82,0,0,0
47.76,6,4.78,3.72,0.667,1,0,1,0,0,956,0.582,2,45.12,0,0,0
12.59,19,4.41,6.19,0.942,1,0,0,0,0,883,0.99,2,40.14,0,0,0
7.7,18,6.17,4.12,0.674,1,0,0,0,1,10,0.767,1,18.74,1,0,0
22.96,8,2.19,2.96,0.434,1,0,1,0,1,690,0.519,2,1.64,0,0,0
32.02,11,13.8,30.52,1.612,1,0,0,1,1,10,0.607,6,21.22,0,0,0
61.12,9,0.2,0.76,1.462,1,1,0,0,1,1146,0.609,5,35.95,0,0,0
3.96,18,21.81,12.58,2.418,1,0,1,0,0,578,0.404,5,20.31,0,0,0
22.39,9,32.84,4.16,1.412,0,0,1,0,0,527,0.99,0,45.34,1,0,0
9.62,23,4.86,4.94,1.06,1,1,0,0,0,228,0.795,3,38.8,1,0,1
162.36,22,6.71,7.69,1.036,1,1,1,1,0,180,0.99,6,12.29,0,0,0
8.56,16,5.08,9.07,0.84,1,0,0,1,1,175,0.95,2,70.06,1,0,0
16.49,20,19.12,3.38,1.191,0,0,1,1,1,797,0.803,0,24.59,0,0,0
3.82,8,11.32,1.69,0.83,1,1,0,1,0,442,0.634,2,19.51,1,0,0
20.91,22,3.67,19.78,1.334,1,1,0,1,1,880,0.865,2,22.74,1,0,0
54.96,23,11.31,10.79,1.084,1,1,0,1,1,321,0.617,3,22.42,1,0,1
14.84,10,11.05,8.7,3.592,0,1,1,1,0,1030,0.813,2,52.69,0,0,0
104.99,21,3.41,13.4,1.821,0,0,0,0,0,671,0.357,8,24.83,1,0,1
16.65,13,6.03,14.48,0.627,0,0,0,0,0,953,0.793,0,30.21,0,0,0
30.91,2,12.75,6.01,0.936,1,1,0,0,0,223,0.789,4,26.99,1,0,0
55.71,0,16.84,0.17,0.932,1,1,0,1,0,695,0.556,4,38.11,0,0,0
22.35,10,2.9,2.11,1.099,1,0,0,1,0,951,0.794,3,59.45,1,0,0
71.04,20,7.22,0.37,0.401,1,1,0,0,1,1378,0.99,1,26.69,0,0,0
15.85,1,16.32,3.41,0.932,0,1,0,0,0,755,0.99,2,49.25,0,0,0
19.53,21,14.49,6.81,0.729,1,1,0,1,1,914,0.686,1,24.34,0,0,0
11.97,3,18.0,6.81,0.986,0,1,0,1,1,121,0.99,2,33.04,0,0,0
11.0,18,7.13,9.45,5.895,0,1,0,0,0,153,0.833,4,7.68,0,0,0
9.23,11,14.35,3.35,0.425,0,0,0,0,0,409,0.756,7,12.41,0,0,0
134.51,15,2.58,3.11,0.577,1,0,1,1,0,364,0.654,3,38.07,0,0,0
24.55,0,26.9,2.53,2.364,1,1,0,1,0,332,0.771,6,55.04,1,0,0
10.25,17,0.49,6.24,1.935,0,1,1,0,0,1091,0.673,4,15.2,1,1,0
18.09,8,0.71,22.04,1.59,1,1,0,1,0,951,0.822,1,41.07,1,0,0
9.68,22,0.25,3.4,0.656,0,0,1,1,0,1117,0.763,4,29.82,0,0,0
17.4,23,1.73,13.54,0.724,1,1,1,1,0,658,0.702,4,21.36,0,0,0
50.19,17,5.2,3.79,2.372,1,1,1,0,1,967,0.593,3,19.87,0,0,0
31.81,12,6.18,19.42,0.575,1,0,1,0,0,1043,0.541,2,5.99,0,0,0
12.0,1,11.62,1.32,0.658,1,0,1,0,1,949,0.681,5,76.67,1,0,0
35.15,10,11.43,1.1,2.715,1,0,0,1,1,1190,0.99,3,15.11,0,0,0
13.44,7,22.32,11.71,0.778,0,1,1,0,1,1122,0.443,3,22.9,1,0,0
4.62,12,1.68,0.53,0.253,1,1,0,0,0,852,0.451,3,36.53,1,1,0
62.84,21,7.25,8.54,0.821,1,1,1,1,0,1252,0.784,4,42.74,1,0,0
34.71,18,12.14,1.48,1.169,1,1,0,0,0,286,0.566,6,30.58,1,0,1
307.44,23,13.03,0.68,2.009,1,0,0,0,0,974,0.792,1,19.76,1,0,0
74.41,23,12.09,3.88,0.564,0,0,0,0,0,983,0.855,2,31.46,0,1,0
24.09,3,24.9,2.93,1.429,1,0,0,0,1,1073,0.501,4,14.67,0,0,0
17.48,21,9.2,32.43,1.201,1,0,0,0,1,481,0.52,1,28.7,0,0,0
50.42,4,1.82,2.11,0.392,0,1,0,1,0,75,0.604,2,9.09,0,0,0
28.69,4,7.35,9.23,0.347,1,0,1,1,0,437,0.848,5,45.56,0,0,0
7.07,0,18.29,3.41,1.583,1,1,0,0,0,90,0.555,5,61.35,0,0,0
45.83,0,16.41,10.12,1.095,1,0,1,1,1,1729,0.518,2,31.35,0,0,1
13.88,22,8.06,5.37,2.157,0,1,1,0,1,795,0.624,0,28.67,0,0,0
15.09,22,0.2,1.61,2.251,0,0,1,0,0,620,0.603,4,5.33,0,0,0
10.33,11,6.65,1.23,1.719,0,0,1,0,0,972,0.694,4,30.63,0,0,0
9.72,8,6.56,4.6,0.52,0,0,1,0,0,432,0.812,5,45.19,0,0,0
49.78,10,6.74,7.18,0.733,1,1,1,1,0,824,0.442,2,41.75,0,0,0
12.08,19,9.47,18.27,0.804,0,0,1,0,0,1364,0.607,0,39.59,1,1,0
40.22,19,10.54,0.4,1.117,1,1,0,1,0,10,0.862,3,71.27,0,1,0
30.8,20,29.92,11.59,0.822,0,1,0,1,1,482,0.852,3,10.76,1,0,0
72.45,7,4.28,8.04,0.937,1,0,0,0,1,337,0.619,3,47.93,0,0,1
18.34,20,2.34,0.17,0.74,1,0,1,1,0,10,0.607,8,30.56,0,1,1
8.54,16,5.29,2.65,0.541,1,1,1,1,0,1419,0.99,5,52.71,0,0,0
10.15,18,2.63,4.99,0.587,1,0,1,0,0,753,0.662,3,54.97,0,0,0
64.21,16,4.9,19.36,0.908,1,1,0,1,0,1095,0.442,1,6.22,1,0,0
8.71,5,9.01,21.03,0.742,1,0,0,1,0,440,0.682,1,27.54,0,0,1
33.2,13,1.14,54.54,0.64,1,0,0,0,0,873,0.844,5,11.8,0,0,0
7.07,13,21.03,5.37,1.344,1,1,0,0,1,1385,0.633,3,14.7,0,0,0
24.35,1,1.48,14.42,0.632,1,1,0,1,0,1176,0.67,1,24.87,0,0,1
106.4,10,19.55,4.23,2.006,1,1,0,0,0,1353,0.677,7,47.64,1,0,0
30.88,19,30.57,24.96,1.072,1,1,1,0,0,475,0.676,1,34.94,1,0,0
20.96,20,17.19,2.06,1.501,1,0,0,0,0,788,0.916,5,51.01,0,0,0
16.47,16,4.51,28.15,1.163,1,1,0,0,0,1225,0.907,7,24.05,0,0,0
18.92,15,7.73,4.31,1.09,0,1,1,1,0,689,0.851,4,21.06,0,0,0
12.29,20,27.88,4.04,1.124,0,1,0,0,1,975,0.403,2,40.96,0,0,0
67.63,17,1.94,1.65,0.264,1,1,0,0,0,492,0.703,5,23.99,0,0,0
12.57,0,9.36,4.15,0.468,1,0,1,0,0,1094,0.625,1,36.1,1,0,0
17.41,10,27.61,15.35,1.466,1,1,1,0,1,982,0.537,5,23.22,0,0,0
17.43,21,16.18,0.16,0.809,1,0,0,1,1,581,0.99,5,16.57,1,0,0
20.56,15,6.74,1.92,1.55,1,1,1,0,0,989,0.659,4,43.02,0,0,0
30.79,8,20.87,8.52,1.226,1,0,0,0,1,10,0.968,2,62.4,0,0,0
18.52,8,44.11,4.17,0.35,0,1,1,1,0,25,0.642,0,18.59,0,0,0
25.92,14,0.12,3.92,0.818,1,1,0,0,0,1017,0.43,1,18.62,0,0,0
36.58,4,12.53,14.0,1.364,1,1,0,1,0,1011,0.572,1,38.87,0,0,0
9.93,11,21.86,2.08,1.345,1,1,1,0,0,598,0.276,3,10.69,0,0,0
50.17,8,0.97,4.07,1.596,0,1,0,1,0,10,0.547,3,32.5,0,0,0
29.55,9,18.8,12.33,0.908,0,1,0,1,0,823,0.719,1,21.3,0,0,0
73.65,23,5.26,3.02,0.981,1,1,0,0,0,1004,0.769,5,24.38,0,0,0
17.57,23,15.45,4.09,1.474,1,0,0,0,0,10,0.894,3,7.76,1,0,1
52.56,23,5.37,7.65,0.443,1,0,1,1,0,908,0.667,5,28.58,0,0,0
13.41,12,3.13,7.23,1.151,0,1,1,0,0,299,0.708,1,20.88,1,0,0
40.44,10,37.47,2.09,0.687,1,0,1,1,1,766,0.99,2,34.08,0,0,0
25.37,12,11.5,6.48,0.521,1,0,0,0,0,70,0.507,4,27.11,0,0,0
219.44,22,45.44,4.77,1.892,1,1,1,1,0,18,0.847,2,15.08,0,0,0
126.78,11,13.73,5.88,1.149,0,1,1,1,1,867,0.515,7,22.54,0,0,0
21.35,10,5.44,4.94,2.458,1,0,1,0,0,642,0.815,2,38.03,0,0,0
9.33,7,16.59,32.14,0.839,0,0,1,0,0,934,0.439,2,43.26,1,0,0
23.29,8,1.97,6.75,1.62,1,1,0,1,0,1069,0.765,2,36.71,1,0,0
26.96,0,51.85,1.23,0.42,0,1,0,1,0,912,0.306,3,39.34,0,0,1
13.33,16,3.63,2.23,1.168,1,0,0,0,0,834,0.761,4,31.29,0,0,0
17.19,18,27.73,1.31,0.791,1,0,1,0,0,547,0.593,1,50.37,0,0,0
11.77,14,6.84,16.54,1.35,1,1,0,0,0,347,0.527,5,18.97,0,0,0
19.23,15,12.54,22.61,0.705,1,1,0,1,0,791,0.809,2,15.02,0,0,0
24.69,23,0.23,6.68,0.55,1,0,1,0,0,10,0.537,2,47.52,1,0,0
14.09,8,21.73,2.35,0.443,0,1,0,0,0,10,0.982,2,52.07,0,0,0
2.09,2,12.04,2.77,0.644,1,0,1,1,0,613,0.536,3,44.93,0,1,0
11.94,8,4.9,9.49,1.085,0,1,1,0,0,877,0.7,4,16.43,0,0,0
5.71,9,36.17,0.62,2.325,1,1,0,0,0,287,0.788,3,7.7,0,0,0
4.17,19,16.98,12.8,2.227,1,1,1,0,1,745,0.761,6,35.44,0,0,0
7.2,7,3.7,7.56,0.489,0,1,0,1,0,481,0.99,3,5.27,0,0,0
82.38,3,39.21,9.34,0.537,1,1,1,0,0,277,0.625,3,50.54,1,0,0
20.14,15,3.36,0.09,0.645,0,0,0,0,0,10,0.681,2,19.43,0,0,0
37.51,0,25.36,8.65,0.789,0,0,0,0,0,323,0.662,2,15.72,0,0,0
44.84,3,3.47,4.04,0.347,1,1,0,1,0,1093,0.75,5,26.17,1,1,0
39.06,3,0.65,5.74,0.917,1,0,0,0,1,312,0.538,6,31.0,0,0,0
85.13,10,7.7,1.63,0.814,0,1,0,1,1,1031,0.67,4,33.97,0,0,0
29.94,15,6.39,5.19,0.276,1,1,1,0,0,679,0.899,0,20.45,0,0,0
58.13,6,9.96,7.43,0.813,1,1,1,1,0,634,0.706,5,39.86,1,0,0
44.18,22,3.49,5.33,1.698,1,1,1,0,0,412,0.882,2,45.77,0,0,0
82.76,11,8.65,5.34,0.645,0,1,0,1,1,715,0.557,5,32.47,1,0,0
60.55,15,2.21,2.79,0.792,0,0,0,0,0,1839,0.711,2,19.56,1,0,0
8.92,23,22.88,5.83,1.401,1,0,1,0,1,1041,0.483,2,12.09,1,0,1
5.6,9,20.25,2.9,2.01,1,1,0,1,0,471,0.99,3,61.52,0,0,0
25.34,5,10.68,4.17,0.59,0,1,1,0,0,195,0.619,5,13.36,0,0,0
3.34,17,0.46,7.02,1.602,1,0,1,1,0,394,0.573,5,29.98,0,0,0
13.45,1,7.09,11.67,1.09,0,1,0,1,0,940,0.434,1,21.7,0,0,0
20.98,16,22.43,25.14,3.763,1,1,1,0,0,476,0.606,3,19.41,0,0,1
51.29,15,2.76,7.58,1.029,1,0,0,1,0,1043,0.918,3,4.89,0,0,0
66.57,17,3.1,3.01,1.482,1,1,1,1,1,778,0.844,5,33.42,1,0,0
24.44,20,2.44,2.52,1.031,1,1,0,1,0,818,0.477,2,62.7,0,0,0
26.07,22,0.77,8.79,0.933,1,1,1,0,0,151,0.581,1,37.04,0,0,0
13.37,5,7.22,7.87,0.349,1,0,0,0,0,546,0.549,2,15.96,0,1,1
85.16,16,29.38,2.6,0.393,1,0,0,1,0,284,0.436,6,33.36,0,0,0
19.47,2,0.83,15.78,0.86,1,1,0,0,0,181,0.912,4,38.49,1,0,0
19.22,13,40.15,5.19,1.256,1,0,1,0,0,311,0.407,1,36.06,0,0,0
10.52,4,4.04,0.29,2.639,1,0,0,0,1,10,0.908,1,9.48,0,0,0
9.39,11,15.96,9.52,1.021,1,0,1,0,0,1135,0.535,1,39.33,0,0,0
14.89,16,16.82,3.15,0.662,0,1,0,0,0,972,0.984,7,30.13,0,0,0
70.58,0,6.56,5.54,0.689,0,0,0,0,1,356,0.478,3,29.9,0,0,1
61.52,12,7.84,7.43,0.507,1,1,0,1,0,706,0.599,6,14.44,0,0,0
12.2,20,0.36,7.0,0.413,1,0,0,1,0,763,0.656,1,18.59,1,0,0
23.64,5,7.16,4.93,1.015,0,1,1,1,0,722,0.99,4,17.47,1,1,0
14.93,3,9.87,0.81,1.457,0,0,0,0,0,649,0.568,3,27.3,0,0,0
12.26,8,25.79,12.49,0.653,1,1,0,0,0,811,0.99,1,41.43,0,0,0
24.4,5,2.54,6.12,1.437,1,1,0,0,0,531,0.794,0,14.1,0,0,0
76.41,1,15.09,7.59,0.435,1,0,0,0,0,1309,0.964,3,54.56,0,0,0
12.13,22,0.13,11.66,0.362,1,0,1,1,0,1010,0.786,3,54.48,0,0,0
92.09,14,8.26,1.99,3.824,1,1,0,1,0,958,0.967,1,39.78,1,0,0
11.77,9,9.55,3.55,1.258,1,1,0,1,0,686,0.619,5,17.17,1,0,0
9.73,2,4.41,7.54,0.848,0,1,1,1,0,375,0.573,2,12.39,0,0,0
52.63,5,18.75,8.08,0.936,0,1,0,0,1,319,0.99,1,31.17,0,0,0
67.86,4,1.14,20.42,1.04,1,0,1,1,0,922,0.78,1,70.93,1,0,0
63.94,0,8.75,4.06,0.501,1,0,1,1,1,10,0.892,2,44.55,0,1,0
15.25,22,3.4,7.6,1.368,1,0,0,0,0,45,0.529,5,68.01,0,0,0
93.44,23,3.06,10.11,1.191,0,0,1,1,0,74,0.729,4,14.75,0,0,0
8.77,19,9.54,1.29,1.003,1,1,0,0,0,992,0.657,4,19.97,1,0,0
13.84,18,54.71,7.81,0.765,1,1,0,0,0,465,0.598,4,56.95,0,0,0
25.16,14,12.39,6.45,0.523,0,0,1,1,0,10,0.99,5,13.32,0,0,0
15.31,15,44.79,9.41,1.227,1,1,0,0,0,736,0.22,2,8.28,0,0,0
9.78,19,1.67,9.02,0.754,0,0,0,0,0,1234,0.517,2,19.95,1,0,0
36.37,2,19.77,1.57,1.805,0,1,0,0,0,727,0.762,4,25.08,0,0,0
13.91,5,0.3,5.05,1.604,0,1,0,0,0,115,0.902,3,50.83,0,0,0
80.1,12,9.55,11.95,2.313,0,1,0,1,1,756,0.73,3,33.18,0,0,0
55.41,8,8.65,4.39,0.805,1,0,1,1,0,1380,0.525,5,37.72,0,0,1
26.02,12,15.85,1.36,1.193,1,1,0,1,0,725,0.717,1,34.25,0,0,0
8.25,2,7.82,21.85,0.586,0,0,0,1,0,46,0.642,2,71.73,0,0,0
18.2,1,22.11,0.66,1.384,1,1,0,1,0,146,0.444,3,15.61,0,1,0
21.11,13,27.85,5.67,0.59,1,1,0,0,0,389,0.595,8,21.4,0,0,0
